iter	Passed	Remaining
0	55	55008
1	55	27719
2	56	18622
3	56	14063
4	56	11333
5	57	9508
6	57	8210
7	58	7232
8	58	6471
9	59	5864
10	59	5367
11	60	4953
12	60	4600
13	61	4300
14	61	4039
15	61	3810
16	62	3606
17	62	3426
18	63	3265
19	63	3119
20	64	2990
21	64	2870
22	65	2761
23	65	2663
24	65	2572
25	66	2488
26	66	2410
27	67	2338
28	67	2270
29	68	2208
30	68	2150
31	69	2094
32	69	2041
33	70	1993
34	70	1947
35	71	1904
36	71	1862
37	72	1824
38	72	1786
39	72	1751
40	73	1717
41	73	1685
42	74	1655
43	74	1625
44	75	1596
45	75	1570
46	76	1543
47	76	1518
48	77	1494
49	77	1471
50	77	1449
51	78	1428
52	78	1407
53	79	1387
54	79	1368
55	80	1350
56	80	1332
57	80	1314
58	81	1297
59	81	1281
60	82	1265
61	82	1250
62	83	1235
63	83	1221
64	83	1207
65	84	1195
66	84	1182
67	85	1169
68	85	1159
69	86	1147
70	86	1136
71	87	1124
72	87	1113
73	88	1103
74	88	1092
75	89	1082
76	89	1072
77	89	1062
78	90	1053
79	90	1043
80	91	1034
81	91	1026
82	91	1014
83	92	1006
84	92	998
85	93	989
86	93	982
87	93	973
88	94	964
89	94	956
90	95	949
91	95	941
92	95	933
93	96	925
94	96	918
95	96	910
96	97	903
97	97	896
98	97	888
99	98	882
100	98	875
101	98	868
102	99	862
103	99	855
104	99	849
105	99	843
106	100	837
107	100	831
108	101	825
109	101	820
110	101	815
111	102	811
112	102	805
113	102	800
114	103	795
115	103	789
116	103	784
117	104	779
118	104	774
119	104	769
120	105	764
121	105	759
122	105	755
123	106	750
124	106	746
125	106	741
126	107	736
127	107	732
128	107	728
129	108	724
130	108	720
131	108	715
132	109	711
133	109	707
134	109	703
135	110	699
136	110	696
137	110	692
138	111	688
139	111	685
140	111	681
141	112	677
142	112	673
143	112	670
144	113	666
145	113	663
146	113	659
147	114	656
148	114	653
149	114	650
150	115	646
151	115	643
152	115	640
153	116	637
154	116	634
155	116	631
156	117	628
157	117	625
158	117	622
159	118	619
160	118	616
161	118	613
162	118	610
163	119	608
164	119	605
165	119	602
166	120	599
167	120	597
168	120	594
169	121	591
170	121	589
171	121	586
172	122	584
173	122	581
174	122	579
175	123	577
176	123	574
177	123	572
178	124	569
179	124	567
180	124	565
181	125	563
182	125	560
183	125	558
184	126	556
185	126	553
186	126	551
187	127	549
188	127	547
189	127	545
190	128	543
191	128	541
192	128	538
193	129	536
194	129	534
195	129	532
196	130	530
197	130	528
198	130	526
199	131	524
200	131	523
201	131	521
202	132	519
203	132	517
204	132	515
205	133	513
206	133	511
207	133	509
208	134	508
209	134	506
210	134	504
211	135	502
212	135	500
213	135	499
214	136	497
215	136	495
216	136	493
217	137	492
218	137	490
219	137	488
220	138	487
221	138	485
222	138	483
223	139	482
224	139	480
225	139	479
226	140	477
227	140	475
228	140	474
229	141	472
230	141	471
231	141	469
232	142	468
233	142	466
234	142	465
235	143	463
236	143	462
237	143	460
238	144	459
239	144	457
240	144	456
241	145	454
242	145	453
243	145	452
244	146	450
245	146	449
246	146	447
247	147	446
248	147	445
249	147	443
250	148	442
251	148	440
252	148	439
253	149	438
254	149	436
255	149	435
256	150	434
257	150	433
258	150	431
259	151	430
260	151	429
261	151	427
262	152	426
263	152	425
264	152	424
265	153	422
266	153	421
267	153	420
268	154	419
269	154	417
270	154	416
271	155	415
272	155	414
273	155	412
274	156	411
275	156	410
276	156	409
277	157	408
278	157	407
279	157	405
280	158	404
281	158	403
282	158	402
283	159	401
284	159	400
285	159	399
286	160	398
287	160	397
288	160	395
289	161	394
290	161	393
291	161	392
292	162	391
293	162	390
294	162	389
295	163	388
296	163	387
297	163	386
298	164	385
299	164	384
300	164	382
301	165	381
302	165	380
303	165	379
304	166	378
305	166	377
306	166	376
307	167	375
308	167	374
309	167	373
310	168	372
311	168	371
312	168	370
313	169	369
314	169	368
315	169	367
316	170	366
317	170	365
318	170	364
319	171	363
320	171	362
321	171	361
322	172	360
323	172	360
324	172	359
325	173	358
326	173	357
327	173	356
328	174	355
329	174	354
330	174	353
331	175	352
332	175	351
333	175	350
334	176	349
335	176	348
336	176	347
337	177	347
338	177	346
339	177	345
340	178	344
341	178	343
342	178	342
343	179	341
344	179	340
345	179	339
346	180	339
347	180	338
348	180	337
349	181	336
350	181	335
351	181	334
352	182	333
353	182	332
354	182	332
355	183	331
356	183	330
357	183	329
358	184	328
359	184	327
360	184	327
361	185	326
362	185	325
363	185	324
364	186	324
365	186	323
366	187	323
367	187	322
368	188	321
369	188	321
370	189	320
371	189	319
372	189	319
373	190	318
374	190	317
375	191	316
376	191	316
377	191	315
378	191	314
379	192	313
380	192	312
381	193	312
382	193	311
383	193	310
384	194	309
385	194	309
386	194	308
387	195	307
388	195	306
389	195	306
390	195	305
391	196	304
392	196	303
393	196	302
394	197	302
395	197	301
396	197	300
397	198	299
398	198	299
399	198	298
400	199	297
401	199	296
402	199	296
403	200	295
404	200	294
405	200	293
406	201	293
407	201	292
408	201	291
409	202	291
410	202	290
411	202	289
412	203	288
413	203	288
414	203	287
415	204	286
416	204	285
417	204	285
418	205	284
419	205	283
420	205	283
421	206	282
422	206	281
423	206	280
424	207	280
425	207	279
426	207	278
427	208	278
428	208	277
429	208	276
430	209	276
431	209	275
432	209	274
433	210	273
434	210	273
435	210	272
436	211	271
437	211	271
438	211	270
439	212	269
440	212	269
441	212	268
442	213	267
443	213	267
444	213	266
445	214	265
446	214	265
447	214	264
448	215	263
449	215	263
450	215	262
451	216	261
452	216	261
453	216	260
454	217	259
455	217	259
456	217	258
457	218	258
458	218	257
459	218	256
460	219	256
461	219	255
462	219	254
463	220	254
464	220	253
465	220	252
466	221	252
467	221	251
468	221	250
469	222	250
470	222	249
471	222	249
472	222	248
473	223	247
474	223	247
475	223	246
476	224	245
477	224	245
478	224	244
479	225	244
480	225	243
481	225	242
482	226	242
483	226	241
484	226	240
485	227	240
486	227	239
487	227	239
488	228	238
489	228	237
490	228	237
491	229	236
492	229	236
493	230	235
494	230	235
495	230	234
496	231	233
497	231	233
498	231	232
499	232	232
500	232	231
501	232	230
502	233	230
503	233	229
504	233	229
505	234	228
506	234	227
507	234	227
508	235	226
509	235	226
510	235	225
511	236	225
512	236	224
513	236	223
514	237	223
515	237	222
516	237	222
517	238	221
518	238	221
519	238	220
520	239	219
521	239	219
522	239	218
523	240	218
524	240	217
525	240	216
526	241	216
527	241	215
528	241	215
529	242	214
530	242	214
531	242	213
532	243	212
533	243	212
534	243	211
535	244	211
536	244	210
537	244	210
538	245	209
539	245	209
540	245	208
541	246	207
542	246	207
543	246	206
544	247	206
545	247	205
546	247	205
547	248	204
548	248	204
549	248	203
550	249	202
551	249	202
552	249	201
553	250	201
554	250	200
555	250	200
556	250	199
557	251	199
558	251	198
559	251	197
560	252	197
561	252	196
562	252	196
563	253	195
564	253	195
565	253	194
566	254	194
567	254	193
568	254	193
569	255	192
570	255	192
571	255	191
572	256	190
573	256	190
574	256	189
575	257	189
576	257	188
577	257	188
578	258	187
579	258	187
580	259	186
581	259	186
582	259	185
583	260	185
584	260	184
585	260	184
586	260	183
587	261	183
588	261	182
589	261	182
590	262	181
591	262	181
592	262	180
593	263	179
594	263	179
595	263	178
596	264	178
597	264	177
598	264	177
599	265	176
600	265	176
601	266	175
602	266	175
603	266	174
604	267	174
605	267	173
606	267	173
607	268	172
608	268	172
609	268	171
610	269	171
611	269	170
612	269	170
613	270	169
614	270	169
615	270	168
616	271	168
617	271	167
618	271	167
619	272	166
620	272	166
621	272	165
622	273	165
623	273	164
624	273	164
625	274	163
626	274	163
627	274	162
628	275	162
629	275	161
630	275	161
631	276	160
632	276	160
633	276	159
634	277	159
635	277	158
636	277	158
637	278	157
638	278	157
639	278	156
640	279	156
641	279	155
642	279	155
643	280	154
644	280	154
645	280	153
646	281	153
647	281	152
648	281	152
649	282	152
650	282	151
651	282	151
652	283	150
653	283	150
654	283	149
655	284	149
656	284	148
657	284	148
658	285	147
659	285	147
660	285	146
661	286	146
662	286	145
663	286	145
664	287	144
665	287	144
666	287	143
667	288	143
668	288	142
669	288	142
670	289	141
671	289	141
672	289	140
673	290	140
674	290	139
675	290	139
676	291	138
677	291	138
678	291	137
679	292	137
680	292	137
681	292	136
682	293	136
683	293	135
684	293	135
685	294	134
686	294	134
687	294	133
688	295	133
689	295	132
690	295	132
