iter	Passed	Remaining
0	58	58874
1	59	29698
2	59	19927
3	60	15038
4	60	12114
5	61	10156
6	61	8759
7	62	7708
8	62	6904
9	63	6266
10	63	5739
11	64	5291
12	64	4909
13	65	4583
14	65	4300
15	65	4051
16	66	3832
17	66	3636
18	67	3463
19	67	3309
20	67	3165
21	68	3033
22	68	2912
23	68	2805
24	69	2709
25	69	2618
26	70	2533
27	70	2454
28	71	2382
29	71	2311
30	71	2245
31	72	2183
32	72	2125
33	72	2070
34	73	2018
35	73	1969
36	73	1923
37	74	1879
38	74	1837
39	74	1798
40	75	1760
41	75	1724
42	75	1689
43	76	1657
44	76	1625
45	76	1596
46	77	1570
47	77	1546
48	78	1522
49	78	1498
50	79	1475
51	79	1453
52	80	1432
53	80	1414
54	81	1404
55	82	1386
56	82	1367
57	83	1349
58	83	1331
59	83	1314
60	84	1298
61	84	1282
62	85	1267
63	85	1252
64	85	1237
65	86	1221
66	86	1207
67	87	1192
68	87	1178
69	87	1165
70	88	1151
71	88	1138
72	88	1126
73	89	1114
74	89	1102
75	89	1091
76	90	1080
77	90	1068
78	90	1058
79	91	1047
80	91	1037
81	92	1029
82	92	1019
83	92	1010
84	93	1001
85	93	992
86	93	983
87	94	974
88	94	966
89	94	957
90	95	949
91	95	941
92	95	933
93	96	927
94	96	920
95	97	913
96	97	906
97	97	900
98	98	894
99	98	888
100	99	882
101	99	877
102	100	872
103	100	866
104	100	860
105	101	854
106	101	848
107	102	842
108	102	836
109	102	830
110	103	824
111	103	819
112	103	813
113	103	808
114	104	802
115	104	797
116	104	792
117	105	786
118	105	781
119	106	777
120	106	774
121	106	769
122	107	765
123	107	760
124	107	755
125	108	751
126	108	746
127	108	741
128	109	737
129	109	733
130	109	729
131	110	725
132	110	720
133	110	716
134	111	712
135	111	708
136	111	704
137	112	701
138	112	698
139	113	695
140	113	692
141	113	687
142	114	684
143	114	681
144	114	677
145	115	674
146	115	670
147	115	667
148	116	664
149	116	660
150	116	657
151	117	654
152	117	651
153	117	647
154	118	644
155	118	641
156	118	638
157	119	635
158	119	632
159	119	629
160	120	626
161	120	624
162	121	621
163	121	619
164	121	616
165	122	613
166	122	611
167	122	608
168	123	605
169	123	603
170	123	600
171	124	597
172	124	595
173	124	592
174	125	590
175	125	587
176	125	585
177	126	582
178	126	580
179	126	578
180	127	576
181	127	574
182	128	572
183	128	570
184	129	568
185	129	566
186	129	563
187	130	561
188	130	559
189	130	557
190	131	555
191	131	553
192	131	550
193	132	548
194	132	546
195	132	544
196	133	542
197	133	540
198	133	538
199	134	536
200	134	534
201	134	532
202	135	531
203	135	529
204	136	527
205	136	525
206	136	523
207	137	522
208	137	520
209	137	518
210	138	516
211	138	514
212	138	512
213	139	511
214	139	510
215	140	508
216	140	507
217	140	505
218	141	503
219	141	502
220	142	500
221	142	499
222	143	498
223	143	496
224	143	494
225	144	493
226	144	491
227	144	489
228	145	488
229	145	486
230	145	485
231	146	483
232	146	481
233	146	480
234	147	478
235	147	477
236	147	475
237	148	473
238	148	472
239	148	470
240	149	469
241	149	468
242	150	467
243	150	465
244	150	464
245	151	462
246	151	461
247	151	459
248	152	458
249	152	457
250	152	455
251	153	454
252	153	452
253	153	451
254	154	449
255	154	448
256	154	447
257	155	445
258	155	444
259	155	443
260	156	442
261	156	441
262	157	440
263	157	439
264	157	437
265	158	436
266	158	435
267	159	434
268	159	433
269	160	434
270	161	433
271	161	432
272	161	430
273	162	429
274	162	428
275	162	427
276	163	426
277	163	425
278	164	424
279	164	423
280	164	421
281	165	420
282	165	419
283	165	418
284	166	417
285	166	416
286	167	414
287	167	413
288	167	412
289	168	411
290	168	410
291	168	409
292	169	408
293	169	407
294	169	405
295	170	405
296	170	404
297	171	404
298	172	403
299	172	402
300	172	401
301	173	400
302	173	398
303	173	397
304	174	396
305	174	395
306	174	394
307	175	393
308	175	392
309	175	391
310	176	390
311	176	389
312	176	388
313	177	386
314	177	386
315	177	385
316	178	384
317	178	383
318	179	382
319	179	381
320	179	380
321	180	379
322	180	378
323	180	377
324	181	376
325	181	375
326	181	374
327	182	373
328	182	372
329	182	371
330	183	370
331	183	369
332	183	368
333	184	367
334	184	366
335	185	365
336	185	364
337	185	363
338	186	363
339	186	362
340	187	361
341	187	360
342	187	359
343	188	358
344	188	357
345	188	356
346	189	356
347	189	355
348	189	354
349	190	353
350	190	352
351	190	351
352	191	350
353	191	349
354	192	349
355	192	348
356	193	347
